       latitude      longitude observation     resiual  prediction  correction
       34.78595      138.01753     0.05100    -0.02065     0.07165     0.00000
       35.55613      138.03832     0.08900    -0.03482     0.12382     0.00000
       34.66641      138.04652     0.04850    -0.01717     0.06567     0.00000
       34.71525      138.05354     0.04540    -0.02265     0.06805     0.00000
       34.93980      138.07486     0.06320    -0.01699     0.08019     0.00000
       35.04488      138.08168     0.06540    -0.02120     0.08660     0.00000
       35.87842      138.09571     0.12050    -0.03476     0.15526     0.00000
       36.70665      138.09673     0.24240    -0.00649     0.24889     0.00000
       34.67992      138.09829     0.05310    -0.01314     0.06624     0.00000
       37.16079      138.10019     0.29540    -0.00545     0.30085     0.00000
       36.52360      138.12095     0.21250    -0.01667     0.22917     0.00000
       34.64290      138.12929     0.04570    -0.01867     0.06437     0.00000
       35.10391      138.13490     0.07220    -0.01848     0.09068     0.00000
       34.75776      138.13692     0.05010    -0.02002     0.07012     0.00000
       34.63454      138.15904     0.04060    -0.02329     0.06389     0.00000
       34.84941      138.17674     0.04270    -0.03237     0.07507     0.00000
       34.67775      138.18296     0.03870    -0.02724     0.06594     0.00000
       35.32207      138.18578     0.09670    -0.01021     0.10691     0.00000
       36.86540      138.19867     0.27190    -0.00678     0.27868     0.00000
       35.06697      138.20998     0.06480    -0.02373     0.08853     0.00000
       36.02616      138.21448     0.14800    -0.02797     0.17597     0.00000
       34.60315      138.21525     0.04040    -0.02181     0.06221     0.00000
       36.20847      138.21649     0.17930    -0.01830     0.19760     0.00000
       34.73831      138.22560     0.05040    -0.01854     0.06894     0.00000
       37.05668      138.24259     0.29240    -0.01530     0.30770     0.00000
       36.66515      138.24747     0.25440    -0.00387     0.25827     0.00000
       34.95435      138.24990     0.07060    -0.01073     0.08133     0.00000
       35.20098      138.25351     0.06610    -0.03211     0.09821     0.00000
       37.81590      138.27307     0.38030    -0.00696     0.38726     0.00000
       35.85598      138.31640     0.14570    -0.01501     0.16071     0.00000
       36.38618      138.32252     0.21700    -0.01062     0.22762     0.00000
       34.83617      138.33122     0.04530    -0.02884     0.07414     0.00000
       37.23112      138.33357     0.35150     0.00935     0.34215     0.00000
       36.13311      138.36204     0.17770    -0.01888     0.19658     0.00000
       36.26099      138.36604     0.20830    -0.00553     0.21383     0.00000
       35.10346      138.36870     0.07110    -0.02047     0.09157     0.00000
       38.02369      138.36988     0.40540    -0.01267     0.41807     0.00000
       34.99052      138.37830     0.05640    -0.02733     0.08373     0.00000
       36.80171      138.43617     0.29540    -0.00311     0.29851     0.00000
       35.90493      138.44421     0.13710    -0.03428     0.17138     0.00000
       35.44358      138.44525     0.10520    -0.01533     0.12053     0.00000
       35.28946      138.44570     0.08640    -0.02021     0.10661     0.00000
       35.67369      138.45682     0.13220    -0.01228     0.14448     0.00000
       37.10708      138.45736     0.35170     0.00592     0.34578     0.00000
       36.13064      138.46097     0.17180    -0.03018     0.20198     0.00000
       38.06328      138.47168     0.43800    -0.00392     0.44192     0.00000
       36.28471      138.49928     0.21430    -0.01241     0.22671     0.00000
       38.31935      138.51309     0.46790     0.01042     0.45748     0.00000
       34.98650      138.51568     0.06430    -0.01907     0.08337     0.00000
       37.34854      138.51637     0.39160     0.00291     0.38869     0.00000
       35.06741      138.52471     0.06950    -0.01966     0.08916     0.00000
       36.50800      138.55271     0.25750    -0.00865     0.26615     0.00000
       35.36208      138.56343     0.08020    -0.03390     0.11410     0.00000
       37.39768      138.57440     0.40080    -0.00576     0.40656     0.00000
       35.97415      138.58303     0.16740    -0.01921     0.18661     0.00000
       35.59034      138.58330     0.11900    -0.01899     0.13799     0.00000
       36.61632      138.59145     0.28430    -0.00393     0.28823     0.00000
       35.46769      138.60687     0.08940    -0.03568     0.12508     0.00000
       37.07913      138.60872     0.36910     0.00199     0.36711     0.00000
       35.11715      138.60997     0.05970    -0.03330     0.09300     0.00000
       35.20318      138.61699     0.07230    -0.02779     0.10009     0.00000
       36.85669      138.62425     0.34210     0.00889     0.33321     0.00000
       37.21211      138.63460     0.40980     0.01726     0.39254     0.00000
       36.34601      138.63780     0.23060    -0.01703     0.24763     0.00000
       35.64952      138.69038     0.13120    -0.01603     0.14723     0.00000
       35.74687      138.69513     0.14730    -0.01252     0.15982     0.00000
       37.53583      138.70694     0.45830     0.00440     0.45390     0.00000
       35.17359      138.72154     0.08660    -0.01110     0.09770     0.00000
       35.36077      138.72730     0.09790    -0.01736     0.11526     0.00000
