       latitude      longitude observation     resiual  prediction  correction
       37.04517      137.87385     0.01740    -0.00350     0.02090     0.00000
       36.95087      137.89387     0.02410     0.00569     0.01841     0.00000
       36.32237      137.90282     0.02450     0.02166     0.00284     0.00000
       34.75539      137.91128    -0.01490     0.00577    -0.02067     0.00000
       35.31714      137.92527     0.00170     0.01707    -0.01537     0.00000
       34.84386      137.93215    -0.00380     0.01649    -0.02029     0.00000
       34.67042      137.93744    -0.00730     0.01431    -0.02161     0.00000
       35.92358      137.94381    -0.01470    -0.00867    -0.00603     0.00000
       34.90205      137.94681     0.02220     0.04222    -0.02002     0.00000
       35.03152      137.98042     0.01430     0.03364    -0.01934     0.00000
       36.12111      137.98301    -0.03260    -0.03007    -0.00253     0.00000
       35.72629      137.98389     0.01300     0.02316    -0.01016     0.00000
       36.23903      137.98455     0.01360     0.01356     0.00004     0.00000
       34.78595      138.01753    -0.02030     0.00166    -0.02196     0.00000
       35.55613      138.03832     0.00830     0.02204    -0.01374     0.00000
       34.66641      138.04652     0.00330     0.02648    -0.02318     0.00000
       34.71525      138.05354    -0.02220     0.00077    -0.02297     0.00000
       34.93980      138.07486     0.00000     0.02160    -0.02160     0.00000
       35.04488      138.08168    -0.00530     0.01546    -0.02076     0.00000
       35.87842      138.09571     0.01490     0.02396    -0.00906     0.00000
       36.70665      138.09673    -0.01220    -0.02277     0.01057     0.00000
       34.67992      138.09829     0.01640     0.04026    -0.02386     0.00000
       37.16079      138.10019     0.00060    -0.02276     0.02336     0.00000
       36.52360      138.12095    -0.01320    -0.01860     0.00540     0.00000
       34.64290      138.12929    -0.00340     0.02114    -0.02454     0.00000
       35.10391      138.13490    -0.02480    -0.00378    -0.02102     0.00000
       34.75776      138.13692     0.00000     0.02395    -0.02395     0.00000
       34.63454      138.15904     0.01870     0.04373    -0.02503     0.00000
       34.84941      138.17674    -0.05260    -0.02867    -0.02393     0.00000
       34.67775      138.18296    -0.00330     0.02186    -0.02516     0.00000
       35.32207      138.18578    -0.02720    -0.00780    -0.01940     0.00000
       36.86540      138.19867    -0.01580    -0.02998     0.01418     0.00000
       35.06697      138.20998     0.00040     0.02303    -0.02263     0.00000
       36.02616      138.21448     0.01630     0.02422    -0.00792     0.00000
       34.60315      138.21525     0.01690     0.04296    -0.02606     0.00000
       36.20847      138.21649    -0.00030     0.00352    -0.00382     0.00000
       34.73831      138.22560    -0.01050     0.01497    -0.02547     0.00000
       37.05668      138.24259     0.00460    -0.01500     0.01960     0.00000
       36.66515      138.24747     0.01160     0.00376     0.00784     0.00000
       34.95435      138.24990     0.00430     0.02861    -0.02431     0.00000
       35.20098      138.25351     0.04220     0.06421    -0.02201     0.00000
       37.81590      138.27307     0.03100    -0.01081     0.04181     0.00000
       35.85598      138.31640     0.00620     0.01941    -0.01321     0.00000
       36.38618      138.32252     0.02220     0.02317    -0.00097     0.00000
       34.83617      138.33122     0.01200     0.03859    -0.02659     0.00000
       37.23112      138.33357     0.04900     0.02447     0.02453     0.00000
       36.13311      138.36204     0.01880     0.02684    -0.00804     0.00000
       36.26099      138.36604    -0.01060    -0.00563    -0.00497     0.00000
       35.10346      138.36870    -0.01620     0.00890    -0.02510     0.00000
       38.02369      138.36988     0.02690    -0.02070     0.04760     0.00000
       34.99052      138.37830     0.02170     0.04798    -0.02628     0.00000
       36.80171      138.43617     0.03600     0.02635     0.00965     0.00000
       35.90493      138.44421     0.01000     0.02470    -0.01470     0.00000
       35.44358      138.44525     0.00190     0.02454    -0.02264     0.00000
       35.28946      138.44570    -0.01520     0.00941    -0.02461     0.00000
       35.67369      138.45682    -0.01770     0.00163    -0.01933     0.00000
       37.10708      138.45736    -0.03350    -0.05308     0.01958     0.00000
       36.13064      138.46097    -0.01490    -0.00492    -0.00998     0.00000
       38.06328      138.47168     0.06590     0.01660     0.04930     0.00000
       36.28471      138.49928    -0.02470    -0.01787    -0.00683     0.00000
       38.31935      138.51309     0.03510    -0.02014     0.05524     0.00000
       34.98650      138.51568     0.00900     0.03791    -0.02891     0.00000
       37.34854      138.51637     0.01810    -0.00937     0.02747     0.00000
       35.06741      138.52471    -0.00760     0.02084    -0.02844     0.00000
       36.50800      138.55271     0.03280     0.03431    -0.00151     0.00000
       35.36208      138.56343    -0.01560     0.01060    -0.02620     0.00000
       37.39768      138.57440     0.01440    -0.01446     0.02886     0.00000
       35.97415      138.58303    -0.00440     0.01182    -0.01622     0.00000
       35.59034      138.58330    -0.01990     0.00355    -0.02345     0.00000
       36.61632      138.59145    -0.00350    -0.00464     0.00114     0.00000
       35.46769      138.60687     0.02950     0.05529    -0.02579     0.00000
       37.07913      138.60872     0.01810     0.00115     0.01695     0.00000
       35.11715      138.60997    -0.01230     0.01748    -0.02978     0.00000
       35.20318      138.61699     0.04560     0.07473    -0.02913     0.00000
       36.85669      138.62425     0.01530     0.00661     0.00869     0.00000
       37.21211      138.63460     0.02320     0.00164     0.02156     0.00000
       36.34601      138.63780     0.00590     0.01398    -0.00808     0.00000
       35.64952      138.69038     0.00930     0.03434    -0.02504     0.00000
       35.74687      138.69513     0.01460     0.03809    -0.02349     0.00000
       37.53583      138.70694     0.01510    -0.01804     0.03314     0.00000
       35.17359      138.72154     0.01310     0.04485    -0.03175     0.00000
       35.36077      138.72730    -0.01570     0.01427    -0.02997     0.00000
       34.69025      138.76279    -0.02930     0.00610    -0.03540     0.00000
       35.30554      138.77067    -0.00910     0.02254    -0.03164     0.00000
       34.85503      138.77652    -0.01230     0.02278    -0.03508     0.00000
       37.49866      138.77954     0.03280     0.00159     0.03121     0.00000
       37.66752      138.78051     0.01380    -0.02390     0.03770     0.00000
       34.77607      138.78606    -0.01760     0.01800    -0.03560     0.00000
       37.31131      138.78998     0.03200     0.00840     0.02360     0.00000
       34.97057      138.79466     0.00610     0.04099    -0.03489     0.00000
       35.49659      138.81404    -0.02400     0.00648    -0.03048     0.00000
       36.99346      138.83084     0.04590     0.03591     0.00999     0.00000
       34.61000      138.83842     0.00920     0.04630    -0.03710     0.00000
       36.59138      138.84789     0.02590     0.03147    -0.00557     0.00000
       36.25903      138.86541    -0.01180     0.00468    -0.01648     0.00000
       34.71947      138.87647    -0.00070     0.03698    -0.03768     0.00000
       37.77699      138.88044     0.03080    -0.01062     0.04142     0.00000
       35.32160      138.88165    -0.02100     0.01329    -0.03429     0.00000
       35.11002      138.90186     0.01690     0.05346    -0.03656     0.00000
       36.69703      138.90626    -0.01380    -0.01041    -0.00339     0.00000
       35.04724      138.90689    -0.03360     0.00348    -0.03708     0.00000
       36.14275      138.91242     0.00180     0.02282    -0.02102     0.00000
       37.58974      138.92028     0.01640    -0.01724     0.03364     0.00000
       34.86559      138.92225    -0.03420     0.00408    -0.03828     0.00000
